source,level 1,level 2,level 3
"Президент Турции Реджеп Тайип Эрдоган ранее сообщил, что количество погибших в результате землетрясения в Турции достигло 912 человек, более 5,3 тыс. пострадали.","Президент Турции Реджеп Тайип Эрдоган сообщил, что после землетрясения в Турции погибли 912 человек и более 5300 пострадали.","Президент Турции Реджеп Тайип Эрдоган сказал, что от землетрясения погибли 912 человек","Президент Турции объявил: 912 человек умерли, 5300 пострадали."
Данное землетрясение стало крупнейшим стихийным бедствием с 1939 года.,Эта земля тряскалась самым сильным разливом с 1939 года.,Этот разрушительный землетрясень было самой сильной стихией за 82 года.,Было большое землетрясение.
В Сирии в результате природного катаклизма погибли 326 человек.,В Сирии из-за сильной стихийной бедствия умерли 326 человек.,В Сирии от стихийного бедствия умерло 326 человек.,В Сирии случилось бедствие: умерло 326 человек.
"Помимо многочисленных жертв, в Турции обрушилась историческая крепость в провинции Газиантеп, внесенная в список всемирного наследия ЮНЕСКО.",В Турции случилось несчастное событие,В Турции упала старая крепость,"Кроме жертв, рухнул замок в Турции."
"Цитадель в сирийском городе Алеппо получила повреждения, сообщает «Бизнес Online».","В Сирии, в Алеппо, была поврежденная цитадель.",В Сирии цитадель в Алеппо пострадал.,Алеппо получила ущерб.
"В Министерстве объединения Республики Корея после консультаций разработают новый средне- и долгосрочный планы воссоединения с КНДР, передает ТАСС.",В Министерстве объединения Южной Кореи после консультаций создадут новый средне- и долгосрочный план для воссоединения с Северной Кореей.,Министерство Южной Кореи разрабатывает новый план для воссоединения с Северной Кореей.,Министерство составит план
О намерении разработать план в министерстве сообщили в докладе с целями на 2023 год.,"В министерстве сообщили о том, что они хотят создать план",В министерстве будет разработан план для 2023 года.,В министерстве будет готовить план.
Документ получит название «Новая инициатива будущего по объединению».,"Документ назовут ""Новая инициатива будущего""","Документ будет называться ""Новая инициатива"".",Документ - новая инициатива для будущего.
Разработке плана будет предшествовать общественная дискуссия.,Сначала будет проводиться обсуждение с участием общества,До разработки плана пройдет обсуждение с общественностью.,"Будет обсуждение, затем план."
"Основой инициативы будут универсальные ценности: свобода, права человека, открытость и коммуникация.","Базовые принципы этой инициативы: свобода, права человека, общая доступность информации и понимание между людьми.","Основой инициативы являются важные ценности: свобода, человеческие права.","Основой - свобода, права человека."
"Подчеркивается, что объединение будет носить мирный, демократический характер.",Объединение будет иметь мирный и демократический характер.,Союз будет мирным и демократическим.,Будет мирное объединение.
Налаживание отношений между Сеулом и Пхеньяном предлагается реализовывать через прямые и косвенные контакты в рамках международных и общественных организаций.,Установление связей между Сеулом и Пхеньяном можно было бы реализовать посредством прямых и опосредованных контактов с учетом участия международных и общественных организаций.,Нам нужно улучшать отношения между Южной Кореей и Северной Кореей,Установление мира между Южной Кореей и Северной Кореей должно происходить с помощью прямых и косвенных связей.
В Москве и Московской области объявили желтый уровень погодной опасности в связи с гололедицей.,В Москве и Подмосковье объявлен желтый уровень погодной опасности из-за гололедицы.,В Москве и Подмосковье установлена жёлтая метеопредупреждение из-за гололёда.,В Москве - гололед.
"«Желтый – погода потенциально опасна», – поясняется на сайте Гидрометцентра.",«Желтый – предупреждение о потенциально опасной погоде».,"«Желтый – сигнал потенциальной опасности», – объяснено на сайте центрального метеорологического ведомства.",Жёлтая - опасная погода.
"Согласно прогнозам синоптиков, гололедица возможна местами по столице и региону 27-28 января.",Гололед может образоваться в некоторых местах Москвы и области с 27 по 28 января.,"По прогнозам синоптиков, утренняя ледяная занесенность может быть местами по Москве и области 27-28 января.",Гололедица возможна в городе и области.
"Напомним, днем в пятницу в Москве ожидается небольшой снег при температуре воздуха от 0 до минус 2 градусов Цельсия.",В пятницу в Москве может выпасть небольшой снег.Temperature воздуха будет находиться между 0 и -2 градусами по Цельсию.,В пятницу в Москве прогнозируется небольшой снег при температуре воздуха от нуля до минус двух градусов.,Ожидается снег.
В ночь на субботу в столице может похолодать до минус 6 градусов.,В ночь на субботу в Москве может стать холодно до -6 градусов.,В субботу может быть морозно до минус 6 градусов.,В ночь на субботу - минус шесть градусов.
"По сведениям метеорологов, в Москве и Московской области в ближайшие три дня ожидается слабо морозная погода, преимущественно без осадков.",В ближайшие три дня в Москве и области будет слабо морозная погода с незначительными осадками.,В Москве и Подмосковье за три дня будет холодно и сухо.,В Москве будет морозно.
"«Благодаря прошедшей теплой погоде значительно уменьшился снежный покров, а в западных областях от него не осталось и следа» – сказано на сайте Гидрометцентра.","""Поскольку недавно была теплая погода, слой снега сильно уменьшился",После теплой погоды снег почти полностью растаял.,Теплая погода сделала мало снега.
"Однако в конце рабочей недели, 28 и 29 января, синоптики прогнозируют небольшое похолодание – всего на пару градусов.","В выходные, 28-29 января, ожидается небольшие морозы.","В выходные, 28-29 января, будет чуть холоднее.",В выходные чуть холоднее.
"Так, в понедельник днем в Москве и Подмосковье за окном -3..-1 °C, а в выходные уже -6..-1 °C.",В понедельник днем температура в Москве и Подмосковье была минус 3 до минус 1 градуса,В Москве и Подмосковье холодно,В Москве холодно
"«Небольшой снег, местами умеренный, гололедица», – говорится в сообщении.","«Снег был небольшим, местами он был умеренным, и была также гололедица».","«Снега немного, местами среднего размера и ледяного покрова».",Мало снега и ледяная дорога.
Днём температура воздуха в городе составит от минус двух до нуля градусов.,В день в городе будет около 0°C.,В городе днём будет -2 до 0 градусов тепла.,В городе днём будет холодно
Ветер юго-западный и западный со скоростью от четырёх до девяти метров в секунду.,Ветер юго-западный и западный дует со скоростью 4-9 метров в секунду.,"Ветер пришел с юга, его скорость 4-9 метра в секунду.",Ветер юго-западный и западный
Атмосферное давление – 751 миллиметр ртутного столба.,Давление воздуха - 751 миллиметр ртутного столба.,Воздушная давка – 751 мм рт,Давление в воздухе - 751 мм рт
"В ночь на субботу в столице также ожидается облачная погода, небольшой снег, гололедица.","В субботу в Москве будет облачно, возможен небольшой снег и гололедица.","В субботу в Москве будет облачно, slight snow and black ice.",В ночь на субботу будет облако и снег.
Температура воздуха составит от шести до четырёх градусов мороза.,Температура воздуха будет от 6 до 4 градуса мороза.,Температура будет от 6 до 4 градуса мороза.,Температура холодная.
Ветер переменных направлений со скоростью от двух до семи метров в секунду.,Ветер меняет направление и движется с скоростью 2-7 м/с.,Ветер меняет направление,Ветер меняет направление
"Напомним, ведущий специалист центра погоды «Фобос» Евгений Тишковец рассказал, что в феврале в Москве прогнозируется мягкий температурный фон на три градуса выше нормы.","В Московском центре «Фобос» говорят, что в феврале в городе ожидается норма температуры воздуха, которая будет на 3 градуса выше нормального значения.",В Москве в феврале будет мягкая температура,В феврале в Москве будет тепло.
"Кроме того, синоптик заявил, что 30 и 31 января в российской столице прогнозируются снегопады.","Синоптик предупредил, что 30 и 31 января в Москве ожидаются сильные снегопады.","Еще синоптик сказал, что 30 и 31 января в Москве будет снег.",В Москве будут снегопады.
"В ближайшие три дня в Ленинградской области местами возможны порывы ветра до 15-17 метров в секунду, на дорогах местами гололедица.",В ближайшие три дня в Ленинградской области могут быть сильные ветры и местами гололед.,В следующие три дня в Ленинградской области возможно сильный ветер и гололедные заносы.,"Ближайшие три дня: сильный ветер, гололедные дороги."
"Синоптики рассказали об аномальной жаре, которая должна прийти во Владивосток в целом более чем на две недели.",Синоптики предупреждают о приближающейся аномальной жаре,В Владивостоке ожидается сильная аномальная жара.,В Владивостоке будет жара.
"Погода будет просто потрясающе теплой, ведь температура воздуха будет превышать норму на порядок, сообщает PRIMPRESS.","Погода будет очень тёплая, потому что воздух будет гораздо теплее обычного.",Погоде ожидается быть очень тёплой,Погода будет очень теплая.
"Как рассказали специалисты метеорологического портала Gismeteo, радикальное тепло должно прийти в столицу Дальнего Востока уже через несколько недель.","Специалисты из Gismeteo говорят, что на Дальний Восток придет сильное тепло уже скоро.",Специалисты из Gismeteo предсказывают теплую зиму в столице на Дальнем Востоке.,Вокруг Дальнего Востока будет жарко.
Первые ласточки будут зафиксированы в городе уже в конце февраля.,Первые весенние птицы появятся в городе к концу февраля.,Первые ласточки появятся в городе в конце февраля.,Первые ласточки появятся в конце февраля.
Температура воздуха к этому моменту повысится до плюс одного градуса.,Воздушная температура к тому времени будет на один градус выше нуля.,Воздух будет теплым и будет +1 градус.,Воздух станет теплым.
А период очень сильного тепла метеорологи обещают в краевом центре начиная с 28 февраля.,В регионе с 28 февраля ждут жару.,Ожидается сильное тепло с 28 февраля.,Теплый период будетsoon в регионе с 28 февраля.
"В период с 28 февраля по 7 марта включительно температура в столице края будет составлять плюс 4-5 градусов, а 5 марта ожидается и вовсе плюс шесть.","С 28 февраля по 7 марта в городе будет теплая погода.Temperature в столице будет на +4-5°C, а 5 марта ожидается температура до +6°C.","С 28 февраля по 7 марта, температура в городе будет +4-5 градусов",Температура в городе будет +4-5.
Далее в прогнозе ожидается небольшой перерыв и понижение температуры до плюс одного – минус одного.,Затем в прогнозе ожидается небольшое похолодание.,Затем температура немного упадет.,Ожидается небольшой перерыв
"Но с 14 марта синоптики прогнозируют резкий взлет показателей сначала до плюс 5, потом до плюс 8 градусов, а потом и вовсе до плюс 10 на пике 16 марта.","С 14 марта ожидается повышение температуры сначала до +5, затем до +8 градусов, а на пике 16 марта - даже до +10.",С 14 марта погода станет теплее,С 14 марта будет тепло
А в целом потрясающе теплая погода должна продержаться в городе в течение 13 дней.,"В городе ожидается теплая погода, которая продлится 13 дней.",Погодная ситуация очень хорошая,Погода очень теплая
"По словам специалистов, такая температура будет невероятно высокой для данного периода времени.","Специалисты говорят, что такая температура будет очень высокая для этой поры года.","Специалисты говорят, что температура будет очень высокой в данный период.",Такая температура будет очень высока.
"Обычно в конце февраля или в начале марта во Владивостоке столбики термометров показывают минус 2-3 градуса, а в целом первый весенний месяц еще удивляет сильными снегопадами.",В Владивостоке обычно холодно после Нового года,В конце зимы во Владивостоке часто бывают холодные дни,Весной в Владивостоке бывает холодно.
"Но, судя по всему, в этом году все будет совсем по-другому.",Но это год - и все будет совсем другой.,В этом году все изменится.,В этом году все изменится.
С учетом глобальных изменений климата в это верится достаточно сильно.,Из-за изменения климата сейчас многое изменилось.,Из-за изменения климата мир стал очень опасным.,Климат очень плохо меняется.
"В центральной части Турции произошло землетрясение магнитудой 7,7, об этом сообщает Европейско-Средиземноморский сейсмологический центр (EMSC).","В Турции случилось сильное землетрясение с силой в 7,7 балла",В Турции случилось сильное землетрясение,В Турции произошел сильный землетрясение.
"По данным экспертов, эпицентр мощных подземных толчков находился в 26 километрах от города Газиантеп, в котором живут около 1,065 миллиона человек.",Мощные подземные толчки произошли близко к городу Газиантеп,"Эксперты сказали, что сильные землетрясения начались рядом с Газиантепом",Эксперты нашли источник сильных землетрясений
"Специалисты добавили, что очаг залегал на глубине 10 километров.",Очаг находился на глубине 10 километров.,"Очаг был глубоко под землей, на глубине 10 километров.",Очаг находился глубоко под землей.
"При этом подземные толчки ощущали жители нескольких регионов, в том числе Анкары.",Натиск природных катаклизмов не ограничивается лишь одной страной - Турцией,Жители некоторых городов почувствовали сильный землетрясение,Народ несколько мест чувствовал землетрясение.
"Информации о погибших, пострадавших или разрушениях на данный момент нет.","Пока нет информации о погибших, травмированных и разрушенных объектах.",По потерям и разрушениям пока нет никакой информации.,Нет информации о жертвах и разрушениях.
"Реконструкцию исторического события времен блокады Ленинграда провели на Финляндском вокзале 7 февраля, сообщили «Невские новости».",На Финляндском вокзале 7 февраля реконструировали историческое событие из времен блокады Ленинграда.,На Финляндском вокзале реконструировали важное событие из блокадного времени,Провели реконструкцию блокады
7 февраля 1943 года в Ленинград пришел грузовой поезд с 800 тоннами продовольствия.,В феврале 1943 года в Ленинград прибыл поезд со столько же 800 тоннами еды.,В феврале 1943 года в Ленинград пришло много еды.,В феврале 1943 года в Ленинград arrived cargo train with 800 tons of food.
Состав прошел по линии Шлиссельбург – Поляны.,Состав прошел от Шлиссельбурга до Полян.,Поездка состава прошла по дороге Шлиссельбург-Поляны.,Маршрут проходит.
Железную дорогу возвели в кратчайшие сроки – за 17 дней.,Железную дорогу построили за 17 дней.,Железную дорогу построили за 17 дней.,Железную дорогу построили быстро.
В честь 80-летия этого события в Петербурге прошло театрализованное представление.,"В Петербурге состоялось театрализованное представление, посвященное 80-летию известного события.",В Питере был спектакль из-за юбилея важного случая.,В Петербурге проводили праздник.
Паровоз ЭУ доставил на Финляндский вокзал исторический состав: вагоны-теплушки начала XX века и вагоны для пассажиров 1930-х годов.,Паровоз ЭУ доставил на Финляндский вокзал старые поезда,Паровоз ЭУ принес исторические поезда на Финляндский вокзал,Паровоз привел старые поезда на вокзал.
Также посетители могли увидеть паровоз Ов 324 1905 года – в годы войны такие модели укрепляли и включали в составы бронепоездов; и паровоз ЛВ-0165 1956 года – он стал первым послевоенным грузовым локомотивом в стране.,Посетители также могли увидеть старинные паровозы,Посетители могли увидеть паровоз Ов 324 1905 года и паровоз ЛВ-0165 1956 года.,"В музее были экспонаты: старый паровоз из войны, который помогал войскам, и современный паровоз, первый после войны."
"Новое исследование, проведенное специалистами из Йельского университета, показало, что распространенное мнение о том, что воздействие никотина снижает аппетит, ошибочно.","Новое исследование показало, что никотин не снижает аппетит.","Новое исследование показывает, что никотин не уменьшает голод.",Новое исследование
Информацию об этом опубликовал медицинский портал News-Medical.,Медицинский сайт News-Medical рассказал о случившемся.,Медицинский сайт News-Medical сообщил о этой новости.,Медицинский сайт опубликовал информацию.
Эксперимент проводился на мышах.,Эксперимент был проведен на мышах.,Эксперимент проводили у мышей.,Эксперимент на мышах.
"Оказалось, что предварительное воздействие никотина никаким образом не повлияло на их желание работать за получение еды.","Оказалось, что у этих животных нет связи между впечатлением от никотина и их мотивацией к труду ради еды.","Участники эксперимента хотели работать для получения пищи, несмотря на то, что у них была возможность пользоваться никотином заранее.",Никотин не повлиял на желание людей работать за еду.
"По мнению ученых, большое количество никотина способно подавлять аппетит, но в течение нескольких недель постоянного курения мотивация к еде наоборот возрастает.","Ученые считают, что много никотина может уменьшить голод","Большое количество никотина может сначала немного сбить голод, но после нескольких недель постоянного курения человек начинает снова сильно ощущать чувство голода.",Никотин снижает голод
"Данное исследование показало, что желание человека сбросить лишний вес при помощи курения не только вредит здоровью, но и в конечном итоге является контрпродуктивным.","Новое исследование показывает, что люди, которые пытаются сбросить вес с помощью сигарет, вредят своему здоровью","Новый отчет указывает, что стремление людей потерять лишний вес с помощью сигарет может причинить вред их здоровью",Человек хочет сжечь жир
"По мнению специалистов, курение наоборот может влиять на последующий набор веса.","По словам экспертов, куриение может повлиять на прибавление веса.","Специалисты утверждают, что куриение может привести к увеличению веса.","Специалисты считают, что курить вредно для фигуры"
"По мнению медицинских экспертов, за последние несколько десятилетий температура человеческого тела снижается.","Согласно мнению врачей, в последнее время температура человека стала меньше.","Согласно врачам, человеческая температура падает.",Температура человеческого тела снижается.
"Ученые пока не могут дать однозначного ответа, почему это происходит, пишет РИА Новости.","На данный момент ученые не знают точно, почему это происходит.","Ученые еще не знают, зачем это происходит.",Ученые не знают причин.
"Тем не менее, специалисты не оставляют попыток найти ответ на этот вопрос.","Хотя пока безрезультатно, эксперты продолжают искать решение этой проблемы.",Специалисты все равно пытаются найти ответ на этот вопрос.,Спецам не терять надежды.
"В частности, ученые из Мичиганского университета считают, что в этом виноваты микробы.","Ученые из США думают, что микробы вызывают это явление.","Ученые из Мичиганского университета думают, что микробы вызвали это.","Ученые считают, что виноваты микробы."
Впервые измерять температуру пациентов начал немецкий врач Карл Вундерлих в середине XIX века.,Немецкий врач Карл Вундерлих первым начал измерять температуру пациентов в середине XIX века.,"Первый человек, который мерил температуру у больных, был доктор Карл Вундерлих из Германии.",Первым мерить температуру начал доктор Карл Вундерлих.
"Он провел обширный сбор и анализ данных и пришел к выводу, что нормальная температура тела составляет 37 градусов при измерении во рту и 36,6 при измерении в подмышечной впадине.",Он собрал и проанализировал данные,Он собрал много данных о температуре человеческого тела,Нормальная температура тела - 37 градусов.
"37,5 он принял за верхний порог для здорового человека.","Он определил 37,5 как верхнюю границу для нормального здоровья.","Он считает 37,5 градусов как верхним пределом для нормального человека.","Он считает 37,5 верхним пределом для нормального состояния человека."
Более ста лет врачи полагались на эти нормы.,Более ста лет врачи следовали этим правилам.,Врачи более 100 лет используют эти правила.,Врачи следовали этим правилам сто лет.
"Ученые из Британии провели исследование и отметили, что хлеб из нового вида цельнозерновой муки способен снизить уровень глюкозы в крови (сахара), а также дольше сохраняет чувство сытости.","Результаты исследования показали, что новый вид цельнозерновой муки может помочь снизить уровень сахара в крови","Российские учёные обнаружили, что хлеб сделанный из нового сорта цельнозернового муки может помочь уменьшить потребление сахара и продлить чувство сытости.",Ученые нашли новую муку
"Добиться такого эффекта специалисты смогли, добавив при изготовлении хлеба цельноклеточную нутовую муку.",Специалисты добились интересного результата,"Специалисты создали такой продукт, добавив в хлеб нутовую мукку.","Специалисты сделали вкусный хлеб, добавив в него нутовую муку."
Всего 30% нутовой муки в хлебе способствовало снижению уровня глюкозы в крови на 40% после приёма пищи в сравнении с обычным пшеничным хлебом.,"В хлебе, содержащем 30% нутовой муки, уровень глюкозы в крови снижался на 40% после еды по сравнению со стандартным белым хлебом.",В хлебе есть специальная мука,В хлебе есть небольшая часть нутовой муки
Такой эффект обусловлен падением скорости расщепления крахмала в этой муке в процессе переваривания.,Этот эффект возникает из-за замедления процесса расщепления крахмала при переваривании такой муки.,"Этот продукт таков, потому что скорость, с которой крахмал разрушается при переваривании муки, стала меньше.",Крахмал в муке легко разрушается.
"Исследование показало, что переход на клетчатую смесь нута позволяет улучшить чувство сытости, что должно помочь избегать переедания.",Нутовая клетчать может помочь чувствовать себя полным и меньше переедать.,Переход на еду с лепёшками из куста нут помогает чувствовать себя сытым дольше.,Клетчатая смесь нут улучшает сытость.
"Кроме того, за счет меньшего скачка сахара в крови снижаются риски ожирения и диабета 2 типа.",Также меньше рисковать нужно для развития ожирения и болезни диабета 2 типа,Также меньше рисков быть толстым и иметь сахар в крови.,Меньший скачок сахара в крови помогает избежать ожирения и диабета 2 типа.
"Как сообщили aif.ru в пресс-службе НМИЦ сердечно-сосудистой хирургии им. А.Н. Бакулева Минздрава России, в ближайшее время там начнутся клинические испытания первого отечественного МР-совместимого имплантируемого кардиостимулятора.",В НМИЦ сердечно-сосудистой хирургии им,В НМИЦ сердечно-сосудистой хирургии им,В НМИЦ скоро начнут клинические испытания нового отечественного кардиостимулятора.
"Исследователи заявляют, что потребление большого количества соли вредит не только кровяному давлению и сердечно-сосудистой системе, но и может негативно влиять на иммунную систему.","Исследователи говорят, что много ешь соли – это вредно","Ученые говорят, что много соли вредно","Консультанты утверждают, что много соли вредно"
Результаты исследования опубликованы в журнале Science.,Результаты исследования были опубликованы в журнале Science.,"Результаты исследования можно найти в журнале ""Science"".",Результаты исследования - в журнале Science.
"Международная исследовательская группа выяснила, что соль может нарушать работу ключевых иммунных регуляторов, называемых регуляторными Т-клетками, нарушая их энергетический обмен.",Российские учёные установили связь между натрием хлорида (солью) и работой нашего иммунитета,"Группа ученых обнаружила, что соль может мешать работе важных защитных клеток в организме.",Соль может повлиять на иммунную систему человека.
Полученные результаты могут открыть новые возможности для изучения развития аутоиммунных и сердечно-сосудистых заболеваний.,Результаты этой работы могут помочь в поиске новых способов изучать развитие опасных болезней.,Результаты исследования могут помочь найти новую информацию о болезнях иммунной и кровеносной системы.,Результаты исследования могут помочь найти причины болезней сердца и иммунной системы.
"Выяснилось, что слишком много соли в нашем рационе может негативно повлиять на метаболизм и энергетический баланс в определенных типах врожденных иммунных клеток, называемых моноцитами и макрофагами, и помешать им работать должным образом.","Нам стало известно, что большое количество соли в нашем рационе может быть вредным для метаболизма и энергетического баланса",Много соли может быть вредно для некоторых людей,Много соли вредно.
"Исследователи также показали, что соль вызывает сбои в работе митохондрий, энергетических установок наших клеток.","В исследованиях также было обнаружено, что соль может повлиять на работу митохондрий в нашем организме",Расследователи нашли вредную силу у соли,Соль плохо для клеток.
"Вдохновленные этими выводами, исследовательские группы задались вопросом, может ли чрезмерное потребление соли также создавать аналогичную проблему в адаптивных иммунных клетках, таких как регуляторные Т-клетки.","Результаты исследования показали, что высокое потребление соли может вызвать проблемы","Исследователи задумались о том, может ли много соли повлиять и на другие защитные клетки нашего тела.",Исследователи спросили: вредно ли много соли?
В процессе реставрации древней Великой пирамиды Чолула найден неизвестный артефакт.,"Пока работали люди над восстановлением древнего сооружения в Чолула, они нашли необычную вещь.",Во время реставрации древнего сооружения в Мексике обнаружили старинный предмет.,"В процессе реставрации пиramids, был найден незнакомый предмет."
Эта важная неожиданная находка может раскрыть тайну создания археологического комплекса и подобных ему монументальных сооружений.,Эта интересная находка поможет разобраться в создании древнего комплекса и других похожих величественных сооружений.,Это интересное открытие может помочь разобраться в истории creation большого древнего комплекса.,Важная находка.
"Об этом говорится в отчете INAH, о чем сообщает «Российская газета».","В отчете INAH говорится об интересной информации, которая сообщается ""Российской газетой"".",В отчете Мексиканского национального института антропологии (INAH) упоминается..,"В отчете INAH говорится, что..."
"В ходе спасательной миссии, задачей которой было укрепление пирамиды Чолула в Мексике, на ее восточной стене реставраторы обнаружили крупную часть строительного глинобитного материала.","В ходе спасательной миссии реставраторы нашли большую часть глины, используемого при постройке пирамиды Чолула в Мексике.","В рамках спасательной операции, целью которой было улучшить состояние пирамиды Чолула в Мексике, на одной из стен реставроры нашли большую часть кирпича.",Спасатели нашли глину.
"После изучения фрагмента оказалось, что находка является недостающим куском пятой ступени пирамиды, который считался утерянным навсегда.","После изучения фрагмента, обнаружилось, что это частичка потерянной части пятипилонной пирамиды.","Найденный фрагмент - часть 5-й ступени пиramids, которая долгое время считалась потерянной.","После изучения, оказалось, что это часть большой пирамиды."
Артефакт датируется концом периода майя (между 100 и 600 годами нашей эры).,Артефакт относится к временам падения цивилизации майя,Артефакт относится к конце времени майя (100-600 года нашей эры).,Артефакт - старина
"Находка свидетельствует о процессе строительства, использовавшегося жителями того времени для расширения своего главного памятника.",Строительство было видно в Находке,Строительство было важным событием в жизни местных жителей.,Строительство было начато.
"Кандидат физико-математических наук, геофизик, сейсмолог Анна Люсина в беседе с РБК оценила угрозу от сдвига Аравийской плиты при землетрясении в Турции.","Анна Люсина, кандидат наук по физико-математическим наукам и геофизик сейсмолог, оценила угрозу от сдвига Аравийской плиты при землетрясении в Турции.","Физик и сейсмолог Анна Люсина говорит, что сдвиг Аравийской плиты - потенциальная опасность.",Физико-математический ученый Анна Люсина
"По оценке эксперта, сейсмическая активность из-за смещения Аравийской плиты от Анатолийской (расположенной на территории Турции) на три метра распространится и на другие части плиты.","Эксперт считает, что сейсмическая деятельность увеличится из-за перемещения тектонической плиты","Эксперт сказал, что сейсмическая деятельность увеличится",Смещение плит вызывает землетрясения.
«Произошел сброс напряжения на одной части плиты.,"""На части платы произошел сбой в работе электричества.""","""На части плиты произошел спад напряжения.""",Сбросилась часть напряжения.
"И, соответственно, вся плита стала активной», – заявила Люсина, пояснив, что перераспределения напряжений могут привести к новым землетрясениям на довольно удаленных территориях.",Люсина сказала: «Вся плита стала активной,"Люсина сказала: ""И вся плита стала активной",Плиты земли стали активными
"Ранее президент Национального института геофизики и вулканологии Италии (INGV) Карло Дольони в интервью газете Corriere della Sera сообщил, что из-за мощного землетрясения в Турции литосферные плиты сдвинулись примерно на три метра.","Ранее президент итальянского геофизического института Карло Дольони сказал, что после сильного землетрясения в Турции две большой земной тарелки сдвинулись примерно на 3 метра.","В прошлом президент Италии по геофизике и вулканологии Карло Дольони сказал, что сильное землетрясение в Турции сделало литосферные плиты сдвинуться на примерно 3 метра.",Ранее произошло сильное землетрясение
"Во время операции врачи извлекли 39 металлических и пластмассовых ножей, вилок, ложек и даже зажигалок из живота 30-летнего ливанца.",Во время операции из живота 30-летнего ливанца вынули 39 металлических и пластмассовых столовых приборов и зажигалки.,"Врачам удалось найти 39 металлических и пластмассовых предметов (ножи, вилки, ложки) и одну зажигалку.",Врачами изъято 39 кусков металла и пластика
"По словам одного из хирургов, этот пациент попал в больницу с приступом удушья, после того как пытался проглотить кусок шланга.",Пациент был доставлен в больницу с дыхательной проблемой,"Пациент попал в больницу потому, что у него был приступ удушья",Пациент попал в больницу с удушьем.
"Выяснилось, что все эти предметы пациент проглотил в течение года.",Пациент проглотил эти предметы за год.,Пациент съел эти предметы за год.,Пациент съел это весь год.
"При этом никто не знал о его своеобразном хобби, сообщает Reuters.",Nobody knew about его своеобразное хобби.,Никто не знал об интересе человека к его уникальной деятельности.,Его хобби было неизвестно.
